Round,Date,Team 1,FT,HT,Team 2,Year,Country,FT Team 1,FT Team 2,HT Team 1,HT Team 2,GGD,Team 1 (pts),Team 2 (pts)
10,(Sat) 21 Oct 1995 (W42),Middlesbrough FC ,1-0,1-0,Queens Park Rangers FC ,1995,ENG,1,0,1,0,1,3,0
10,(Sat) 21 Oct 1995 (W42),Newcastle United FC ,6-1,3-0,Wimbledon FC ,1995,ENG,6,1,3,0,5,3,0
10,(Sat) 21 Oct 1995 (W42),Nottingham Forest FC ,3-2,1-1,Bolton Wanderers FC ,1995,ENG,3,2,1,1,1,3,0
10,(Sat) 21 Oct 1995 (W42),West Ham United FC ,1-1,1-0,Blackburn Rovers FC ,1995,ENG,1,1,1,0,0,1,1
10,(Sun) 22 Oct 1995 (W42),Everton FC ,1-1,1-1,Tottenham Hotspur FC ,1995,ENG,1,1,1,1,0,1,1
10,(Sun) 22 Oct 1995 (W42),Southampton FC ,1-3,1-1,Liverpool FC ,1995,ENG,1,3,1,1,2,0,3
11,(Sat) 28 Oct 1995 (W43),Aston Villa FC ,1-0,0-0,Everton FC ,1995,ENG,1,0,0,0,1,3,0
11,(Sat) 28 Oct 1995 (W43),Blackburn Rovers FC ,3-0,1-0,Chelsea FC ,1995,ENG,3,0,1,0,3,3,0
11,(Sat) 28 Oct 1995 (W43),Leeds United FC ,3-1,2-1,Coventry City FC ,1995,ENG,3,1,2,1,2,3,0
11,(Sat) 28 Oct 1995 (W43),Liverpool FC ,6-0,2-0,Manchester City FC ,1995,ENG,6,0,2,0,6,3,0
11,(Sat) 28 Oct 1995 (W43),Manchester United FC ,2-0,1-0,Middlesbrough FC ,1995,ENG,2,0,1,0,2,3,0
11,(Sat) 28 Oct 1995 (W43),Queens Park Rangers FC ,1-1,0-0,Nottingham Forest FC ,1995,ENG,1,1,0,0,0,1,1
11,(Sat) 28 Oct 1995 (W43),Sheffield Wednesday FC ,0-1,0-1,West Ham United FC ,1995,ENG,0,1,0,1,1,0,3
11,(Sat) 28 Oct 1995 (W43),Wimbledon FC ,1-2,0-1,Southampton FC ,1995,ENG,1,2,0,1,1,0,3
11,(Sun) 29 Oct 1995 (W43),Tottenham Hotspur FC ,1-1,1-0,Newcastle United FC ,1995,ENG,1,1,1,0,0,1,1
11,(Mon) 30 Oct 1995 (W44),Bolton Wanderers FC ,1-0,1-0,Arsenal FC ,1995,ENG,1,0,1,0,1,3,0
12,(Sat) 4 Nov 1995 (W44),Arsenal FC ,1-0,1-0,Manchester United FC ,1995,ENG,1,0,1,0,1,3,0
12,(Sat) 4 Nov 1995 (W44),Chelsea FC ,0-0,0-0,Sheffield Wednesday FC ,1995,ENG,0,0,0,0,0,1,1
12,(Sat) 4 Nov 1995 (W44),Coventry City FC ,2-3,1-2,Tottenham Hotspur FC ,1995,ENG,2,3,1,2,1,0,3
12,(Sat) 4 Nov 1995 (W44),Manchester City FC ,1-0,1-0,Bolton Wanderers FC ,1995,ENG,1,0,1,0,1,3,0
12,(Sat) 4 Nov 1995 (W44),Middlesbrough FC ,1-1,1-1,Leeds United FC ,1995,ENG,1,1,1,1,0,1,1
12,(Sat) 4 Nov 1995 (W44),Newcastle United FC ,2-1,1-1,Liverpool FC ,1995,ENG,2,1,1,1,1,3,0
12,(Sat) 4 Nov 1995 (W44),Southampton FC ,2-0,1-0,Queens Park Rangers FC ,1995,ENG,2,0,1,0,2,3,0
12,(Sat) 4 Nov 1995 (W44),West Ham United FC ,1-4,0-1,Aston Villa FC ,1995,ENG,1,4,0,1,3,0,3
12,(Sun) 5 Nov 1995 (W44),Everton FC ,1-0,1-0,Blackburn Rovers FC ,1995,ENG,1,0,1,0,1,3,0
12,(Mon) 6 Nov 1995 (W45),Nottingham Forest FC ,4-1,2-1,Wimbledon FC ,1995,ENG,4,1,2,1,3,3,0
13,(Wed) 8 Nov 1995 (W45),Newcastle United FC ,1-0,1-0,Blackburn Rovers FC ,1995,ENG,1,0,1,0,1,3,0
13,(Sat) 18 Nov 1995 (W46),Aston Villa FC ,1-1,1-0,Newcastle United FC ,1995,ENG,1,1,1,0,0,1,1
13,(Sat) 18 Nov 1995 (W46),Blackburn Rovers FC ,7-0,2-0,Nottingham Forest FC ,1995,ENG,7,0,2,0,7,3,0
13,(Sat) 18 Nov 1995 (W46),Bolton Wanderers FC ,0-3,0-0,West Ham United FC ,1995,ENG,0,3,0,0,3,0,3
13,(Sat) 18 Nov 1995 (W46),Leeds United FC ,1-0,0-0,Chelsea FC ,1995,ENG,1,0,0,0,1,3,0
13,(Sat) 18 Nov 1995 (W46),Liverpool FC ,1-2,0-0,Everton FC ,1995,ENG,1,2,0,0,1,0,3
13,(Sat) 18 Nov 1995 (W46),Manchester United FC ,4-1,3-0,Southampton FC ,1995,ENG,4,1,3,0,3,3,0
13,(Sat) 18 Nov 1995 (W46),Sheffield Wednesday FC ,1-1,1-0,Manchester City FC ,1995,ENG,1,1,1,0,0,1,1
13,(Sat) 18 Nov 1995 (W46),Tottenham Hotspur FC ,2-1,1-1,Arsenal FC ,1995,ENG,2,1,1,1,1,3,0
13,(Sat) 18 Nov 1995 (W46),Wimbledon FC ,0-0,0-0,Middlesbrough FC ,1995,ENG,0,0,0,0,0,1,1
14,(Sun) 19 Nov 1995 (W46),Queens Park Rangers FC ,1-1,1-0,Coventry City FC ,1995,ENG,1,1,1,0,0,1,1
14,(Mon) 20 Nov 1995 (W47),Southampton FC ,0-1,0-1,Aston Villa FC ,1995,ENG,0,1,0,1,1,0,3
14,(Tue) 21 Nov 1995 (W47),Arsenal FC ,4-2,1-2,Sheffield Wednesday FC ,1995,ENG,4,2,1,2,2,3,0
14,(Tue) 21 Nov 1995 (W47),Middlesbrough FC ,0-1,0-0,Tottenham Hotspur FC ,1995,ENG,0,1,0,0,1,0,3
14,(Wed) 22 Nov 1995 (W47),Chelsea FC ,3-2,1-1,Bolton Wanderers FC ,1995,ENG,3,2,1,1,1,3,0
14,(Wed) 22 Nov 1995 (W47),Coventry City FC ,0-4,0-1,Manchester United FC ,1995,ENG,0,4,0,1,4,0,3
14,(Wed) 22 Nov 1995 (W47),Everton FC ,2-0,2-0,Queens Park Rangers FC ,1995,ENG,2,0,2,0,2,3,0
14,(Wed) 22 Nov 1995 (W47),Manchester City FC ,1-0,0-0,Wimbledon FC ,1995,ENG,1,0,0,0,1,3,0
14,(Wed) 22 Nov 1995 (W47),West Ham United FC ,0-0,0-0,Liverpool FC ,1995,ENG,0,0,0,0,0,1,1
14,(Sat) 25 Nov 1995 (W47),Chelsea FC ,0-0,0-0,Tottenham Hotspur FC ,1995,ENG,0,0,0,0,0,1,1
15,(Sat) 25 Nov 1995 (W47),Coventry City FC ,3-3,1-2,Wimbledon FC ,1995,ENG,3,3,1,2,0,1,1
15,(Sat) 25 Nov 1995 (W47),Everton FC ,2-2,1-2,Sheffield Wednesday FC ,1995,ENG,2,2,1,2,0,1,1
15,(Sat) 25 Nov 1995 (W47),Manchester City FC ,1-0,0-0,Aston Villa FC ,1995,ENG,1,0,0,0,1,3,0
15,(Sat) 25 Nov 1995 (W47),Middlesbrough FC ,2-1,1-0,Liverpool FC ,1995,ENG,2,1,1,0,1,3,0
15,(Sat) 25 Nov 1995 (W47),Newcastle United FC ,2-1,0-1,Leeds United FC ,1995,ENG,2,1,0,1,1,3,0
15,(Sat) 25 Nov 1995 (W47),Southampton FC ,1-0,0-0,Bolton Wanderers FC ,1995,ENG,1,0,0,0,1,3,0
15,(Sat) 25 Nov 1995 (W47),West Ham United FC ,1-0,0-0,Queens Park Rangers FC ,1995,ENG,1,0,0,0,1,3,0
15,(Sun) 26 Nov 1995 (W47),Arsenal FC ,0-0,0-0,Blackburn Rovers FC ,1995,ENG,0,0,0,0,0,1,1
15,(Mon) 27 Nov 1995 (W48),Nottingham Forest FC ,1-1,1-0,Manchester United FC ,1995,ENG,1,1,1,0,0,1,1
15,(Sat) 2 Dec 1995 (W48),Aston Villa FC ,1-1,0-0,Arsenal FC ,1995,ENG,1,1,0,0,0,1,1
16,(Sat) 2 Dec 1995 (W48),Blackburn Rovers FC ,4-2,3-0,West Ham United FC ,1995,ENG,4,2,3,0,2,3,0
16,(Sat) 2 Dec 1995 (W48),Bolton Wanderers FC ,1-1,0-0,Nottingham Forest FC ,1995,ENG,1,1,0,0,0,1,1
16,(Sat) 2 Dec 1995 (W48),Leeds United FC ,0-1,0-0,Manchester City FC ,1995,ENG,0,1,0,0,1,0,3
16,(Sat) 2 Dec 1995 (W48),Liverpool FC ,1-1,0-0,Southampton FC ,1995,ENG,1,1,0,0,0,1,1
16,(Sat) 2 Dec 1995 (W48),Manchester United FC ,1-1,0-0,Chelsea FC ,1995,ENG,1,1,0,0,0,1,1
16,(Sat) 2 Dec 1995 (W48),Queens Park Rangers FC ,1-1,1-1,Middlesbrough FC ,1995,ENG,1,1,1,1,0,1,1
16,(Sat) 2 Dec 1995 (W48),Tottenham Hotspur FC ,0-0,0-0,Everton FC ,1995,ENG,0,0,0,0,0,1,1
16,(Sun) 3 Dec 1995 (W48),Wimbledon FC ,3-3,2-3,Newcastle United FC ,1995,ENG,3,3,2,3,0,1,1
16,(Mon) 4 Dec 1995 (W49),Sheffield Wednesday FC ,4-3,2-2,Coventry City FC ,1995,ENG,4,3,2,2,1,3,0
16,(Sat) 9 Dec 1995 (W49),Bolton Wanderers FC ,0-1,0-0,Liverpool FC ,1995,ENG,0,1,0,0,1,0,3
17,(Sat) 9 Dec 1995 (W49),Chelsea FC ,1-0,1-0,Newcastle United FC ,1995,ENG,1,0,1,0,1,3,0
17,(Sat) 9 Dec 1995 (W49),Coventry City FC ,5-0,1-0,Blackburn Rovers FC ,1995,ENG,5,0,1,0,5,3,0
17,(Sat) 9 Dec 1995 (W49),Leeds United FC ,1-1,0-1,Wimbledon FC ,1995,ENG,1,1,0,1,0,1,1
17,(Sat) 9 Dec 1995 (W49),Manchester United FC ,2-2,1-0,Sheffield Wednesday FC ,1995,ENG,2,2,1,0,0,1,1
17,(Sat) 9 Dec 1995 (W49),Middlesbrough FC ,4-1,1-1,Manchester City FC ,1995,ENG,4,1,1,1,3,3,0
17,(Sat) 9 Dec 1995 (W49),Southampton FC ,0-0,0-0,Arsenal FC ,1995,ENG,0,0,0,0,0,1,1
17,(Sat) 9 Dec 1995 (W49),Tottenham Hotspur FC ,1-0,1-0,Queens Park Rangers FC ,1995,ENG,1,0,1,0,1,3,0
17,(Sun) 10 Dec 1995 (W49),Nottingham Forest FC ,1-1,0-0,Aston Villa FC ,1995,ENG,1,1,0,0,0,1,1
17,(Mon) 11 Dec 1995 (W50),Everton FC ,3-0,2-0,West Ham United FC ,1995,ENG,3,0,2,0,3,3,0
17,(Sat) 16 Dec 1995 (W50),Arsenal FC ,1-1,0-1,Chelsea FC ,1995,ENG,1,1,0,1,0,1,1
18,(Sat) 16 Dec 1995 (W50),Aston Villa FC ,4-1,1-0,Coventry City FC ,1995,ENG,4,1,1,0,3,3,0
18,(Sat) 16 Dec 1995 (W50),Blackburn Rovers FC ,1-0,1-0,Middlesbrough FC ,1995,ENG,1,0,1,0,1,3,0
18,(Sat) 16 Dec 1995 (W50),Newcastle United FC ,1-0,1-0,Everton FC ,1995,ENG,1,0,1,0,1,3,0
18,(Sat) 16 Dec 1995 (W50),Queens Park Rangers FC ,2-1,1-1,Bolton Wanderers FC ,1995,ENG,2,1,1,1,1,3,0
18,(Sat) 16 Dec 1995 (W50),Sheffield Wednesday FC ,6-2,3-1,Leeds United FC ,1995,ENG,6,2,3,1,4,3,0
18,(Sat) 16 Dec 1995 (W50),West Ham United FC ,2-1,0-1,Southampton FC ,1995,ENG,2,1,0,1,1,3,0
18,(Sat) 16 Dec 1995 (W50),Wimbledon FC ,0-1,0-0,Tottenham Hotspur FC ,1995,ENG,0,1,0,0,1,0,3
18,(Sun) 17 Dec 1995 (W50),Liverpool FC ,2-0,1-0,Manchester United FC ,1995,ENG,2,0,1,0,2,3,0
18,(Mon) 18 Dec 1995 (W51),Manchester City FC ,1-1,1-0,Nottingham Forest FC ,1995,ENG,1,1,1,0,0,1,1
18,(Sat) 23 Dec 1995 (W51),Coventry City FC ,2-1,0-0,Everton FC ,1995,ENG,2,1,0,0,1,3,0
19,(Sat) 23 Dec 1995 (W51),Liverpool FC ,3-1,1-1,Arsenal FC ,1995,ENG,3,1,1,1,2,3,0
19,(Sat) 23 Dec 1995 (W51),Manchester City FC ,0-1,0-0,Chelsea FC ,1995,ENG,0,1,0,0,1,0,3
19,(Sat) 23 Dec 1995 (W51),Middlesbrough FC ,4-2,3-0,West Ham United FC ,1995,ENG,4,2,3,0,2,3,0
19,(Sat) 23 Dec 1995 (W51),Newcastle United FC ,3-1,2-1,Nottingham Forest FC ,1995,ENG,3,1,2,1,2,3,0
19,(Sat) 23 Dec 1995 (W51),Queens Park Rangers FC ,1-0,0-0,Aston Villa FC ,1995,ENG,1,0,0,0,1,3,0
19,(Sat) 23 Dec 1995 (W51),Sheffield Wednesday FC ,2-2,1-1,Southampton FC ,1995,ENG,2,2,1,1,0,1,1
19,(Sat) 23 Dec 1995 (W51),Tottenham Hotspur FC ,2-2,1-0,Bolton Wanderers FC ,1995,ENG,2,2,1,0,0,1,1
19,(Sat) 23 Dec 1995 (W51),Wimbledon FC ,1-1,0-1,Blackburn Rovers FC ,1995,ENG,1,1,0,1,0,1,1
19,(Sun) 24 Dec 1995 (W51),Leeds United FC ,3-1,2-1,Manchester United FC ,1995,ENG,3,1,2,1,2,3,0
19,(Tue) 26 Dec 1995 (W52),Arsenal FC ,3-0,1-0,Queens Park Rangers FC ,1995,ENG,3,0,1,0,3,3,0
20,(Tue) 26 Dec 1995 (W52),Blackburn Rovers FC ,2-0,1-0,Manchester City FC ,1995,ENG,2,0,1,0,2,3,0
20,(Tue) 26 Dec 1995 (W52),Chelsea FC ,1-2,1-2,Wimbledon FC ,1995,ENG,1,2,1,2,1,0,3
20,(Tue) 26 Dec 1995 (W52),Everton FC ,4-0,2-0,Middlesbrough FC ,1995,ENG,4,0,2,0,4,3,0
20,(Tue) 26 Dec 1995 (W52),Nottingham Forest FC ,1-0,1-0,Sheffield Wednesday FC ,1995,ENG,1,0,1,0,1,3,0
20,(Tue) 26 Dec 1995 (W52),Southampton FC ,0-0,0-0,Tottenham Hotspur FC ,1995,ENG,0,0,0,0,0,1,1
